short_name,player_positions,overall,potential,value_eur,value_log10,club_contract_valid_until,years_left,age,weak_foot,international_reputation,pace,shooting,passing,dribbling,defending,physic
A. Rebić,"LM, ST",82,82,32500000.0,7.511883360978874,2025.0,4.0,27,4,1,86.0,83.0,75.0,81.0,48.0,80.0
Diogo Jota,"LW, ST",82,87,46000000.0,7.662757831681574,2025.0,4.0,24,5,2,84.0,81.0,73.0,85.0,57.0,77.0
Richarlison,"ST, LW, LM",82,87,46500000.0,7.6674529528899535,2024.0,3.0,24,5,3,83.0,78.0,73.0,83.0,53.0,80.0
A. Isak,ST,82,86,45000000.0,7.653212513775344,2026.0,5.0,21,5,2,84.0,82.0,68.0,79.0,29.0,69.0
Y. En-Nesyri,"ST, LW",82,86,44000000.0,7.643452676486188,2025.0,4.0,24,4,2,78.0,83.0,58.0,78.0,35.0,76.0
Ferran Torres,"RW, ST",82,90,68500000.0,7.835690571492425,2025.0,4.0,21,4,1,82.0,79.0,78.0,82.0,35.0,66.0
B. Yılmaz,ST,81,81,11000000.0,7.041392685158225,2022.0,1.0,35,4,2,79.0,83.0,69.0,73.0,34.0,79.0
A. Gignac,"ST, CF",81,81,11000000.0,7.041392685158225,2024.0,3.0,35,3,1,68.0,83.0,73.0,75.0,41.0,84.0
G. Higuaín,ST,81,81,16500000.0,7.217483944213907,2022.0,1.0,33,4,4,58.0,84.0,71.0,78.0,29.0,71.0
M. Arnautović,ST,81,81,21000000.0,7.3222192947339195,2024.0,3.0,32,4,3,79.0,81.0,79.0,78.0,44.0,82.0
A. Delort,ST,81,81,25500000.0,7.4065401804339555,2024.0,3.0,29,3,2,84.0,82.0,73.0,75.0,37.0,85.0
D. Ings,ST,81,81,26500000.0,7.423245873936808,2024.0,3.0,28,4,1,79.0,84.0,70.0,80.0,45.0,70.0
Paco Alcácer,ST,81,81,28000000.0,7.447158031342219,2025.0,4.0,27,4,2,77.0,84.0,69.0,81.0,35.0,61.0
A. Milik,ST,81,82,30000000.0,7.477121254719663,2022.0,1.0,27,3,3,64.0,84.0,67.0,76.0,39.0,71.0
A. Belotti,ST,81,82,30000000.0,7.477121254719663,2022.0,1.0,27,5,3,76.0,81.0,59.0,78.0,38.0,83.0
D. Machís,"LM, RM, ST",81,81,26000000.0,7.414973347970818,2022.0,1.0,28,4,1,88.0,80.0,75.0,83.0,38.0,70.0
A. Martial,"ST, LM",81,84,34500000.0,7.537819095073274,2024.0,3.0,25,4,3,87.0,80.0,73.0,85.0,35.0,68.0
J. Correa,"CF, ST, CAM",81,82,31000000.0,7.491361693834273,2022.0,1.0,26,4,1,84.0,75.0,77.0,85.0,39.0,69.0
Iñaki Williams,"ST, RW",81,82,30000000.0,7.477121254719663,2028.0,7.0,27,2,2,94.0,78.0,72.0,78.0,37.0,81.0
Morales,"ST, LM",81,81,16500000.0,7.217483944213907,2023.0,2.0,33,4,2,86.0,82.0,75.0,85.0,52.0,68.0
D. Calvert-Lewin,ST,81,85,37500000.0,7.574031267727719,2025.0,4.0,24,3,2,83.0,77.0,64.0,77.0,39.0,82.0
Gonçalo Guedes,"LM, ST, CF",81,86,39000000.0,7.5910646070264995,2024.0,3.0,24,4,2,86.0,79.0,76.0,82.0,36.0,68.0
Louri Beretta,"ST, CF",81,81,25500000.0,7.4065401804339555,2024.0,3.0,29,3,1,78.0,84.0,62.0,72.0,33.0,71.0
Oswaldinato,ST,81,81,25500000.0,7.4065401804339555,2024.0,3.0,29,3,1,76.0,81.0,67.0,77.0,20.0,78.0
Raúl García,"ST, CAM",80,80,10500000.0,7.021189299069938,2022.0,1.0,34,3,2,41.0,82.0,81.0,78.0,65.0,83.0
A. Sánchez,"CF, ST",80,80,17000000.0,7.230448921378274,2023.0,2.0,32,4,4,78.0,76.0,78.0,83.0,43.0,68.0
C. Bakambu,ST,80,80,20500000.0,7.311753861055754,2021.0,0.0,30,3,2,90.0,80.0,71.0,76.0,36.0,77.0
João Pedro,"CF, ST, CAM",80,80,21000000.0,7.3222192947339195,2023.0,2.0,29,4,1,72.0,78.0,77.0,81.0,41.0,74.0
Pozuelo,"CAM, ST",80,80,20500000.0,7.311753861055754,2021.0,0.0,29,5,2,65.0,75.0,80.0,83.0,52.0,66.0
E. Zahavi,ST,80,80,13500000.0,7.1303337684950066,2022.0,1.0,33,4,2,77.0,82.0,74.0,79.0,39.0,73.0
S. Haller,ST,80,81,24500000.0,7.389166084364533,2025.0,4.0,27,3,3,66.0,79.0,62.0,74.0,51.0,81.0
Roger,ST,80,80,20500000.0,7.311753861055754,2023.0,2.0,30,3,2,77.0,82.0,63.0,77.0,41.0,74.0
J. Martínez,ST,80,80,21500000.0,7.332438459915605,2023.0,2.0,28,4,2,87.0,80.0,61.0,79.0,25.0,67.0
G. Laborde,"ST, RM",80,81,24500000.0,7.389166084364533,2025.0,4.0,27,4,2,77.0,78.0,76.0,78.0,40.0,82.0
Embarba,"RM, LM, ST",80,80,20500000.0,7.311753861055754,2024.0,3.0,29,4,1,83.0,77.0,78.0,79.0,55.0,72.0
J. Rodríguez,"ST, LW",80,80,23000000.0,7.361727836017593,2022.0,1.0,27,3,1,88.0,80.0,67.0,81.0,38.0,76.0
Borja Iglesias,ST,80,80,21500000.0,7.332438459915605,2024.0,3.0,28,3,1,65.0,80.0,64.0,74.0,35.0,80.0
D. Malen,ST,80,85,33000000.0,7.518513939877887,2026.0,5.0,22,3,2,90.0,79.0,72.0,83.0,30.0,74.0
V. Osimhen,ST,80,87,43000000.0,7.633468455579586,2025.0,4.0,22,4,2,88.0,80.0,63.0,75.0,39.0,81.0
M. Gómez,ST,80,85,32000000.0,7.505149978319906,2024.0,3.0,24,3,1,66.0,81.0,68.0,73.0,32.0,82.0
B. Gomis,ST,79,79,7500000.0,6.8750612633917,2022.0,1.0,35,4,3,60.0,81.0,68.0,72.0,36.0,74.0
O. Giroud,ST,79,79,8500000.0,6.929418925714293,2024.0,3.0,34,3,3,39.0,80.0,70.0,71.0,42.0,77.0
M. Suárez,"ST, LW",79,79,11000000.0,7.041392685158225,2023.0,2.0,33,4,2,79.0,77.0,77.0,83.0,44.0,75.0
L. de Jong,ST,79,79,17000000.0,7.230448921378274,2022.0,1.0,30,5,2,50.0,78.0,71.0,70.0,46.0,75.0
M. Antonio,"ST, RM",79,79,15000000.0,7.176091259055681,2023.0,2.0,31,3,2,83.0,76.0,73.0,78.0,55.0,83.0
Gao Late,"ST, RW, CAM",79,79,17000000.0,7.230448921378274,2023.0,2.0,30,4,2,83.0,78.0,77.0,79.0,41.0,72.0
C. Wood,ST,79,79,17500000.0,7.243038048686294,2023.0,2.0,29,3,1,64.0,79.0,60.0,70.0,40.0,81.0
Ai Kesen,ST,79,79,15000000.0,7.176091259055681,2023.0,2.0,31,4,2,84.0,80.0,73.0,79.0,48.0,79.0
L. Rodríguez,"ST, CF",79,79,6000000.0,6.778151250383644,2022.0,1.0,36,4,1,68.0,82.0,76.0,83.0,43.0,70.0
Y. El Arabi,ST,79,79,8500000.0,6.929418925714293,2022.0,1.0,34,4,2,71.0,83.0,69.0,79.0,37.0,70.0
C. Wilson,ST,79,79,17500000.0,7.243038048686294,2024.0,3.0,29,3,2,80.0,78.0,66.0,78.0,41.0,77.0
Rodrigo,"CAM, ST, CM",79,79,17000000.0,7.230448921378274,2024.0,3.0,30,3,3,86.0,78.0,75.0,79.0,45.0,71.0
Lucas Pérez,ST,79,79,14000000.0,7.146128035678238,2022.0,1.0,32,4,2,79.0,82.0,75.0,77.0,32.0,69.0
R. Ruidíaz,ST,79,79,17000000.0,7.230448921378274,2021.0,0.0,30,4,2,84.0,80.0,66.0,78.0,32.0,67.0
A. Plea,"ST, LW",79,79,18000000.0,7.2552725051033065,2023.0,2.0,28,3,2,71.0,82.0,77.0,79.0,39.0,74.0
De Tomás,ST,79,82,23000000.0,7.361727836017593,2026.0,5.0,26,4,1,75.0,82.0,68.0,81.0,35.0,68.0
Rubén García,"LM, ST, RM",79,79,18500000.0,7.267171728403014,2024.0,3.0,27,2,1,80.0,76.0,79.0,79.0,45.0,58.0
P. Onuachu,ST,79,80,20500000.0,7.311753861055754,2024.0,3.0,27,2,1,71.0,77.0,62.0,70.0,45.0,84.0
A. Saint-Maximin,"LM, ST",79,84,26500000.0,7.423245873936808,2026.0,5.0,24,4,2,91.0,69.0,70.0,87.0,25.0,61.0
Paulinho,ST,79,79,18000000.0,7.2552725051033065,2025.0,4.0,28,4,1,67.0,78.0,64.0,75.0,44.0,81.0
Munir,"LW, RW, ST",79,80,21000000.0,7.3222192947339195,2023.0,2.0,25,3,2,79.0,78.0,75.0,82.0,35.0,66.0
Mata,ST,79,79,14000000.0,7.146128035678238,2024.0,3.0,32,3,1,68.0,80.0,61.0,76.0,31.0,76.0
M. Thuram,"LM, ST",79,85,27500000.0,7.439332693830263,2023.0,2.0,23,3,2,82.0,78.0,70.0,79.0,48.0,77.0
E. Ávila,"ST, RM",79,80,20500000.0,7.311753861055754,2023.0,2.0,27,5,1,81.0,81.0,65.0,78.0,44.0,83.0
K. Dolberg,ST,79,83,25500000.0,7.4065401804339555,2024.0,3.0,23,4,2,73.0,81.0,69.0,77.0,30.0,68.0
Luimo Boas Santos,ST,79,79,21000000.0,7.3222192947339195,2024.0,3.0,21,4,1,83.0,79.0,65.0,81.0,28.0,64.0
L. Jović,ST,79,84,27000000.0,7.431363764158987,2024.0,3.0,23,5,1,75.0,80.0,68.0,78.0,29.0,74.0
P. Schick,ST,79,82,23500000.0,7.371067862271736,2025.0,4.0,25,2,3,70.0,79.0,70.0,80.0,35.0,68.0
J. Ikoné,"RM, ST",79,83,25000000.0,7.3979400086720375,2023.0,2.0,23,3,3,89.0,70.0,74.0,83.0,35.0,60.0
M. Kean,ST,79,87,39500000.0,7.596597095626461,2023.0,2.0,21,3,2,85.0,77.0,56.0,78.0,40.0,75.0
Matheus Cunha,"CAM, LM, ST",79,86,35500000.0,7.550228353055094,2026.0,5.0,22,4,2,85.0,78.0,74.0,84.0,31.0,69.0
M. Taremi,"ST, CF",79,79,18000000.0,7.2552725051033065,2024.0,3.0,28,4,1,76.0,79.0,70.0,80.0,38.0,71.0
C. Gakpo,"LM, ST",79,85,28000000.0,7.447158031342219,2025.0,4.0,22,4,1,85.0,78.0,74.0,79.0,41.0,72.0
Negredo,ST,78,78,6000000.0,6.778151250383644,2022.0,1.0,35,2,3,59.0,81.0,64.0,72.0,36.0,77.0
F. Quagliarella,ST,78,78,4800000.0,6.681241237375588,2022.0,1.0,38,4,2,61.0,83.0,74.0,79.0,30.0,63.0
Falcao,ST,78,78,6000000.0,6.778151250383644,2022.0,1.0,35,4,3,56.0,79.0,67.0,76.0,41.0,69.0
F. Caicedo,"CF, ST",78,78,11500000.0,7.060697840353612,2026.0,5.0,32,3,2,74.0,78.0,70.0,75.0,44.0,80.0
Ángel,ST,78,78,7000000.0,6.845098040014257,2023.0,2.0,34,3,1,71.0,81.0,61.0,78.0,34.0,66.0
J. Hernández,ST,78,78,9000000.0,6.954242509439325,2021.0,0.0,33,3,3,68.0,76.0,63.0,75.0,31.0,66.0
A. Budimir,ST,78,78,14000000.0,7.146128035678238,2025.0,4.0,29,4,2,65.0,78.0,48.0,73.0,35.0,77.0
F. Caputo,ST,78,78,9000000.0,6.954242509439325,2022.0,1.0,33,4,1,82.0,79.0,62.0,78.0,30.0,67.0
Kike García,ST,78,78,12000000.0,7.079181246047625,2024.0,3.0,31,4,1,61.0,81.0,64.0,74.0,44.0,74.0
H. Seferović,ST,78,78,14000000.0,7.146128035678238,2024.0,3.0,29,2,2,72.0,78.0,67.0,72.0,48.0,84.0
P. Bamford,ST,78,78,15000000.0,7.176091259055681,2026.0,5.0,27,3,2,73.0,78.0,67.0,73.0,42.0,77.0
J. Nsame,ST,78,78,14500000.0,7.161368002234975,2023.0,2.0,28,4,2,79.0,77.0,55.0,73.0,27.0,80.0
M. Dembélé,ST,78,82,20500000.0,7.311753861055754,2023.0,2.0,24,3,2,78.0,77.0,63.0,73.0,30.0,82.0
A. Miranchuk,"CAM, ST",78,80,17500000.0,7.243038048686294,2025.0,4.0,25,2,1,75.0,70.0,76.0,80.0,31.0,62.0
L. Alario,ST,78,78,14500000.0,7.161368002234975,2024.0,3.0,28,3,2,63.0,78.0,58.0,74.0,30.0,75.0
L. Ajorque,ST,78,79,16500000.0,7.217483944213907,2024.0,3.0,27,3,2,60.0,78.0,60.0,70.0,26.0,81.0
R. Borré,ST,78,81,19000000.0,7.278753600952829,2025.0,4.0,25,3,1,81.0,77.0,72.0,78.0,44.0,76.0
O. Watkins,ST,78,83,21000000.0,7.3222192947339195,2025.0,4.0,25,4,2,85.0,75.0,68.0,75.0,46.0,71.0
K. Toko Ekambi,"LW, ST",78,78,14000000.0,7.146128035678238,2024.0,3.0,28,4,2,85.0,78.0,71.0,77.0,25.0,70.0
J. Bowen,"RM, ST",78,83,21000000.0,7.3222192947339195,2025.0,4.0,24,3,1,76.0,74.0,73.0,79.0,44.0,65.0
K. Iheanacho,"ST, CF",78,82,20500000.0,7.311753861055754,2024.0,3.0,24,3,1,74.0,80.0,70.0,77.0,38.0,71.0
Fredditinho,ST,78,78,9000000.0,6.954242509439325,2024.0,3.0,33,1,1,73.0,80.0,63.0,74.0,39.0,76.0
Matheus Bardeira,ST,78,78,17000000.0,7.230448921378274,2024.0,3.0,21,3,1,73.0,82.0,62.0,70.0,31.0,75.0
T. Abraham,ST,78,86,31500000.0,7.498310553789601,2026.0,5.0,23,3,2,70.0,78.0,62.0,72.0,31.0,70.0
Y. Yazıcı,"CF, ST, CAM",78,82,20500000.0,7.311753861055754,2024.0,3.0,24,4,1,67.0,76.0,79.0,80.0,47.0,72.0
I. Sarr,"RW, RM, ST",78,86,31000000.0,7.491361693834273,2024.0,3.0,23,2,1,94.0,76.0,67.0,80.0,22.0,67.0
A. Gouiri,"ST, LM",78,85,29000000.0,7.4623979978989565,2024.0,3.0,21,3,2,79.0,80.0,75.0,79.0,44.0,70.0
Júnior Moraes,ST,78,78,7000000.0,6.845098040014257,2021.0,0.0,34,4,1,79.0,79.0,60.0,77.0,27.0,68.0
J. David,ST,78,86,32000000.0,7.505149978319906,2025.0,4.0,21,5,2,85.0,76.0,71.0,78.0,25.0,70.0
Puado,"LM, ST, CAM",78,85,28000000.0,7.447158031342219,2025.0,4.0,23,4,1,83.0,76.0,68.0,80.0,45.0,73.0
M. Greenwood,"RM, ST",78,89,30500000.0,7.484299839346786,2025.0,4.0,19,5,1,84.0,78.0,73.0,79.0,39.0,68.0
D. Vlahović,ST,78,85,29000000.0,7.4623979978989565,2023.0,2.0,21,3,2,75.0,78.0,58.0,73.0,28.0,76.0
Soldado,ST,77,77,3600000.0,6.556302500767287,2023.0,2.0,36,4,3,53.0,79.0,71.0,74.0,44.0,69.0
Jorge Molina,ST,77,77,3600000.0,6.556302500767287,2022.0,1.0,39,4,1,36.0,81.0,67.0,68.0,41.0,70.0
D. Valeri,"CAM, ST",77,77,4300000.0,6.633468455579586,2021.0,0.0,35,4,2,53.0,76.0,78.0,78.0,44.0,67.0
Joselu,ST,77,77,9000000.0,6.954242509439325,2022.0,1.0,31,3,1,55.0,78.0,68.0,72.0,30.0,70.0
K. Gameiro,ST,77,77,5000000.0,6.698970004336019,2023.0,2.0,34,4,3,83.0,77.0,74.0,75.0,41.0,67.0
S. Jovetić,"ST, CAM",77,77,9000000.0,6.954242509439325,2024.0,3.0,31,4,3,65.0,79.0,76.0,79.0,35.0,60.0
Alan Kardec,"ST, RW, LW",77,77,8500000.0,6.929418925714293,2022.0,1.0,32,3,1,77.0,77.0,64.0,71.0,34.0,78.0
A Lan,"ST, LW, LM",77,77,9000000.0,6.954242509439325,2023.0,2.0,31,3,2,84.0,75.0,68.0,81.0,33.0,72.0
Alex Teixeira,"ST, LW, CAM",77,77,9000000.0,6.954242509439325,2023.0,2.0,31,4,3,83.0,76.0,73.0,80.0,40.0,70.0
B. Dost,ST,77,77,8500000.0,6.929418925714293,2022.0,1.0,32,3,3,45.0,79.0,57.0,65.0,50.0,76.0
S. Rondón,ST,77,77,9000000.0,6.954242509439325,2023.0,2.0,31,4,2,69.0,76.0,66.0,71.0,32.0,81.0
M. Braithwaite,"ST, LW",77,77,10500000.0,7.021189299069938,2024.0,3.0,30,4,2,80.0,76.0,72.0,79.0,35.0,74.0
Willian José,ST,77,77,10500000.0,7.021189299069938,2022.0,1.0,29,4,2,62.0,78.0,66.0,74.0,40.0,80.0
G. Moreno,"ST, CAM",77,77,4500000.0,6.653212513775344,2021.0,0.0,35,2,1,74.0,77.0,74.0,77.0,56.0,80.0
R. Funes Mori,ST,77,77,10500000.0,7.021189299069938,2022.0,1.0,30,4,1,77.0,77.0,68.0,74.0,43.0,81.0
V. Aboubakar,ST,77,77,10500000.0,7.021189299069938,2024.0,3.0,29,4,2,75.0,75.0,71.0,78.0,36.0,80.0
G. Defrel,"CAM, ST, LW",77,77,10000000.0,7.0,2024.0,3.0,30,3,2,82.0,77.0,68.0,81.0,36.0,51.0
Zé Luís,ST,77,77,10500000.0,7.021189299069938,2023.0,2.0,30,4,1,80.0,75.0,59.0,75.0,33.0,80.0
L. Trossard,"LM, LW, ST",77,78,12500000.0,7.096910013008056,2023.0,2.0,26,4,1,82.0,76.0,74.0,80.0,30.0,61.0
C. Bacca,ST,77,77,5000000.0,6.698970004336019,2022.0,1.0,34,3,3,67.0,75.0,64.0,75.0,33.0,65.0
Y. Poulsen,ST,77,78,12500000.0,7.096910013008056,2024.0,3.0,27,3,2,82.0,70.0,67.0,73.0,56.0,81.0
N. Maupay,ST,77,82,16000000.0,7.204119982655925,2023.0,2.0,24,4,1,77.0,78.0,67.0,73.0,41.0,71.0
Santi Mina,"ST, RW",77,81,15000000.0,7.176091259055681,2024.0,3.0,25,3,1,75.0,77.0,69.0,76.0,49.0,72.0
F. Acheampong,"LW, ST",77,77,11000000.0,7.041392685158225,2022.0,1.0,27,3,1,94.0,76.0,68.0,81.0,49.0,77.0
A. Hamdallah,ST,77,77,10500000.0,7.021189299069938,2022.0,1.0,30,4,2,74.0,78.0,70.0,77.0,30.0,72.0
S. Guirassy,ST,77,81,15000000.0,7.176091259055681,2025.0,4.0,25,3,2,71.0,77.0,66.0,75.0,38.0,76.0
I. Bebou,"ST, RM",77,77,11500000.0,7.060697840353612,2023.0,2.0,27,3,2,90.0,75.0,68.0,80.0,34.0,64.0
L. Waldschmidt,"CF, ST",77,82,15500000.0,7.190331698170292,2025.0,4.0,25,3,1,74.0,80.0,70.0,76.0,29.0,62.0
J. Dinenno,ST,77,78,12500000.0,7.096910013008056,2022.0,1.0,26,3,1,69.0,78.0,57.0,68.0,27.0,73.0
M. Zaccagni,"CF, ST",77,80,14000000.0,7.146128035678238,2023.0,2.0,26,4,1,78.0,71.0,75.0,80.0,60.0,68.0
M. Oršić,"LM, LW, ST",77,77,10500000.0,7.021189299069938,2025.0,4.0,28,4,2,90.0,82.0,71.0,77.0,56.0,62.0
B. Embolo,"ST, CAM",77,82,16000000.0,7.204119982655925,2023.0,2.0,24,4,2,85.0,73.0,70.0,74.0,51.0,82.0
J. Larsson,ST,77,84,21500000.0,7.332438459915605,2023.0,2.0,24,3,1,84.0,78.0,74.0,79.0,29.0,72.0
Soares,ST,77,77,10500000.0,7.021189299069938,2023.0,2.0,30,3,1,81.0,74.0,59.0,74.0,45.0,79.0
Melero,"CM, ST, LM",77,78,12000000.0,7.079181246047625,2023.0,2.0,27,3,1,63.0,76.0,74.0,72.0,73.0,76.0
B. Romero,"ST, RW, LW",77,77,10500000.0,7.021189299069938,2024.0,3.0,30,2,1,90.0,77.0,69.0,76.0,50.0,72.0
M. Marega,ST,77,77,10500000.0,7.021189299069938,2024.0,3.0,30,3,2,87.0,77.0,61.0,65.0,39.0,89.0
Nuno Padrenda,"ST, CAM",77,77,12000000.0,7.079181246047625,2024.0,3.0,25,4,1,82.0,73.0,77.0,82.0,52.0,70.0
T. Kadewere,"RW, ST",77,80,14000000.0,7.146128035678238,2024.0,3.0,25,3,2,83.0,76.0,69.0,78.0,38.0,71.0
A. Lookman,"LM, CAM, ST",77,83,16500000.0,7.217483944213907,2022.0,1.0,23,4,1,85.0,73.0,68.0,82.0,29.0,62.0
Rafa Mir,ST,77,84,21500000.0,7.332438459915605,2027.0,6.0,24,3,1,72.0,79.0,64.0,71.0,45.0,76.0
M. Terrier,"ST, LW",77,81,15500000.0,7.190331698170292,2025.0,4.0,24,3,2,84.0,77.0,74.0,76.0,35.0,66.0
S. Kalajdžić,ST,77,82,16000000.0,7.204119982655925,2023.0,2.0,23,3,2,61.0,73.0,66.0,73.0,45.0,70.0
N. González,"ST, LW",77,83,17000000.0,7.230448921378274,2026.0,5.0,23,2,2,87.0,71.0,64.0,82.0,45.0,60.0
R. Yaremchuk,ST,77,80,14000000.0,7.146128035678238,2026.0,5.0,25,3,1,79.0,76.0,70.0,71.0,45.0,75.0
P. Daka,ST,77,84,21500000.0,7.332438459915605,2026.0,5.0,22,3,1,93.0,78.0,59.0,76.0,24.0,71.0
Rafael Leão,"LW, ST, LM",77,82,16000000.0,7.204119982655925,2024.0,3.0,22,4,1,88.0,73.0,68.0,79.0,27.0,70.0
Vinícius,ST,77,80,14000000.0,7.146128035678238,2023.0,2.0,26,3,1,71.0,78.0,60.0,75.0,41.0,82.0
L. Suárez,"ST, LM, CAM",77,86,23500000.0,7.371067862271736,2022.0,1.0,23,4,1,86.0,78.0,65.0,74.0,40.0,79.0
