short_name,player_positions,overall,potential,value_eur,value_log10,club_contract_valid_until,years_left,age,weak_foot,international_reputation,pace,shooting,passing,dribbling,defending,physic,attacking_finishing,attacking_heading_accuracy,attacking_volleys,power_shot_power,power_long_shots,skill_ball_control,mentality_positioning
Y. En-Nesyri,"ST, LW",82,86,44000000.0,7.643452676486188,2025.0,4.0,24,4,2,78.0,83.0,58.0,78.0,35.0,76.0,89,84,76,83,75,79,82
Ferran Torres,"RW, ST",82,90,68500000.0,7.835690571492425,2025.0,4.0,21,4,1,82.0,79.0,78.0,82.0,35.0,66.0,81,73,74,79,76,81,84
B. Yılmaz,ST,81,81,11000000.0,7.041392685158225,2022.0,1.0,35,4,2,79.0,83.0,69.0,73.0,34.0,79.0,83,75,77,88,81,74,87
A. Gignac,"ST, CF",81,81,11000000.0,7.041392685158225,2024.0,3.0,35,3,1,68.0,83.0,73.0,75.0,41.0,84.0,85,79,77,84,79,78,81
G. Higuaín,ST,81,81,16500000.0,7.217483944213907,2022.0,1.0,33,4,4,58.0,84.0,71.0,78.0,29.0,71.0,86,77,83,85,80,81,86
M. Arnautović,ST,81,81,21000000.0,7.3222192947339195,2024.0,3.0,32,4,3,79.0,81.0,79.0,78.0,44.0,82.0,80,79,79,84,82,82,79
A. Delort,ST,81,81,25500000.0,7.4065401804339555,2024.0,3.0,29,3,2,84.0,82.0,73.0,75.0,37.0,85.0,82,84,83,89,77,74,83
D. Ings,ST,81,81,26500000.0,7.423245873936808,2024.0,3.0,28,4,1,79.0,84.0,70.0,80.0,45.0,70.0,86,78,76,83,83,81,86
Paco Alcácer,ST,81,81,28000000.0,7.447158031342219,2025.0,4.0,27,4,2,77.0,84.0,69.0,81.0,35.0,61.0,85,78,85,82,84,82,86
A. Milik,ST,81,82,30000000.0,7.477121254719663,2022.0,1.0,27,3,3,64.0,84.0,67.0,76.0,39.0,71.0,85,79,78,86,82,81,84
A. Belotti,ST,81,82,30000000.0,7.477121254719663,2022.0,1.0,27,5,3,76.0,81.0,59.0,78.0,38.0,83.0,88,84,82,81,67,77,86
D. Machís,"LM, RM, ST",81,81,26000000.0,7.414973347970818,2022.0,1.0,28,4,1,88.0,80.0,75.0,83.0,38.0,70.0,82,51,57,84,81,81,79
A. Martial,"ST, LM",81,84,34500000.0,7.537819095073274,2024.0,3.0,25,4,3,87.0,80.0,73.0,85.0,35.0,68.0,80,71,76,83,76,86,79
J. Correa,"CF, ST, CAM",81,82,31000000.0,7.491361693834273,2022.0,1.0,26,4,1,84.0,75.0,77.0,85.0,39.0,69.0,77,68,75,79,71,86,79
Iñaki Williams,"ST, RW",81,82,30000000.0,7.477121254719663,2028.0,7.0,27,2,2,94.0,78.0,72.0,78.0,37.0,81.0,77,73,74,85,77,76,85
Morales,"ST, LM",81,81,16500000.0,7.217483944213907,2023.0,2.0,33,4,2,86.0,82.0,75.0,85.0,52.0,68.0,84,64,84,82,78,84,84
D. Calvert-Lewin,ST,81,85,37500000.0,7.574031267727719,2025.0,4.0,24,3,2,83.0,77.0,64.0,77.0,39.0,82.0,82,89,73,79,65,80,84
Gonçalo Guedes,"LM, ST, CF",81,86,39000000.0,7.5910646070264995,2024.0,3.0,24,4,2,86.0,79.0,76.0,82.0,36.0,68.0,76,58,71,84,84,81,77
Louri Beretta,"ST, CF",81,81,25500000.0,7.4065401804339555,2024.0,3.0,29,3,1,78.0,84.0,62.0,72.0,33.0,71.0,85,83,82,85,82,74,83
Oswaldinato,ST,81,81,25500000.0,7.4065401804339555,2024.0,3.0,29,3,1,76.0,81.0,67.0,77.0,20.0,78.0,85,82,72,79,76,77,85
Raúl García,"ST, CAM",80,80,10500000.0,7.021189299069938,2022.0,1.0,34,3,2,41.0,82.0,81.0,78.0,65.0,83.0,80,90,73,85,86,85,85
A. Sánchez,"CF, ST",80,80,17000000.0,7.230448921378274,2023.0,2.0,32,4,4,78.0,76.0,78.0,83.0,43.0,68.0,74,59,82,80,76,83,81
C. Bakambu,ST,80,80,20500000.0,7.311753861055754,2021.0,0.0,30,3,2,90.0,80.0,71.0,76.0,36.0,77.0,83,74,78,81,72,75,83
João Pedro,"CF, ST, CAM",80,80,21000000.0,7.3222192947339195,2023.0,2.0,29,4,1,72.0,78.0,77.0,81.0,41.0,74.0,82,73,72,77,73,83,81
Pozuelo,"CAM, ST",80,80,20500000.0,7.311753861055754,2021.0,0.0,29,5,2,65.0,75.0,80.0,83.0,52.0,66.0,75,54,68,75,76,84,81
E. Zahavi,ST,80,80,13500000.0,7.1303337684950066,2022.0,1.0,33,4,2,77.0,82.0,74.0,79.0,39.0,73.0,84,71,78,80,81,79,82
S. Haller,ST,80,81,24500000.0,7.389166084364533,2025.0,4.0,27,3,3,66.0,79.0,62.0,74.0,51.0,81.0,82,85,83,81,65,79,81
Roger,ST,80,80,20500000.0,7.311753861055754,2023.0,2.0,30,3,2,77.0,82.0,63.0,77.0,41.0,74.0,84,71,84,83,75,79,85
J. Martínez,ST,80,80,21500000.0,7.332438459915605,2023.0,2.0,28,4,2,87.0,80.0,61.0,79.0,25.0,67.0,85,77,73,84,66,79,83
G. Laborde,"ST, RM",80,81,24500000.0,7.389166084364533,2025.0,4.0,27,4,2,77.0,78.0,76.0,78.0,40.0,82.0,80,84,84,78,75,80,82
Embarba,"RM, LM, ST",80,80,20500000.0,7.311753861055754,2024.0,3.0,29,4,1,83.0,77.0,78.0,79.0,55.0,72.0,76,60,65,84,77,79,77
J. Rodríguez,"ST, LW",80,80,23000000.0,7.361727836017593,2022.0,1.0,27,3,1,88.0,80.0,67.0,81.0,38.0,76.0,84,71,72,80,72,81,81
Borja Iglesias,ST,80,80,21500000.0,7.332438459915605,2024.0,3.0,28,3,1,65.0,80.0,64.0,74.0,35.0,80.0,82,80,71,83,74,79,83
D. Malen,ST,80,85,33000000.0,7.518513939877887,2026.0,5.0,22,3,2,90.0,79.0,72.0,83.0,30.0,74.0,82,69,74,79,72,83,80
V. Osimhen,ST,80,87,43000000.0,7.633468455579586,2025.0,4.0,22,4,2,88.0,80.0,63.0,75.0,39.0,81.0,85,78,75,78,72,77,81
M. Gómez,ST,80,85,32000000.0,7.505149978319906,2024.0,3.0,24,3,1,66.0,81.0,68.0,73.0,32.0,82.0,84,87,75,81,74,77,87
B. Gomis,ST,79,79,7500000.0,6.8750612633917,2022.0,1.0,35,4,3,60.0,81.0,68.0,72.0,36.0,74.0,82,84,83,84,72,80,82
O. Giroud,ST,79,79,8500000.0,6.929418925714293,2024.0,3.0,34,3,3,39.0,80.0,70.0,71.0,42.0,77.0,82,90,82,84,66,81,82
M. Suárez,"ST, LW",79,79,11000000.0,7.041392685158225,2023.0,2.0,33,4,2,79.0,77.0,77.0,83.0,44.0,75.0,76,76,75,78,78,84,80
L. de Jong,ST,79,79,17000000.0,7.230448921378274,2022.0,1.0,30,5,2,50.0,78.0,71.0,70.0,46.0,75.0,79,93,83,83,70,79,84
M. Antonio,"ST, RM",79,79,15000000.0,7.176091259055681,2023.0,2.0,31,3,2,83.0,76.0,73.0,78.0,55.0,83.0,79,84,70,79,68,76,80
Gao Late,"ST, RW, CAM",79,79,17000000.0,7.230448921378274,2023.0,2.0,30,4,2,83.0,78.0,77.0,79.0,41.0,72.0,77,78,77,78,79,83,83
C. Wood,ST,79,79,17500000.0,7.243038048686294,2023.0,2.0,29,3,1,64.0,79.0,60.0,70.0,40.0,81.0,81,87,74,81,72,77,80
Ai Kesen,ST,79,79,15000000.0,7.176091259055681,2023.0,2.0,31,4,2,84.0,80.0,73.0,79.0,48.0,79.0,80,72,76,86,72,79,77
L. Rodríguez,"ST, CF",79,79,6000000.0,6.778151250383644,2022.0,1.0,36,4,1,68.0,82.0,76.0,83.0,43.0,70.0,82,68,82,84,81,83,81
Y. El Arabi,ST,79,79,8500000.0,6.929418925714293,2022.0,1.0,34,4,2,71.0,83.0,69.0,79.0,37.0,70.0,87,77,85,79,76,81,81
C. Wilson,ST,79,79,17500000.0,7.243038048686294,2024.0,3.0,29,3,2,80.0,78.0,66.0,78.0,41.0,77.0,82,78,71,77,68,79,83
Rodrigo,"CAM, ST, CM",79,79,17000000.0,7.230448921378274,2024.0,3.0,30,3,3,86.0,78.0,75.0,79.0,45.0,71.0,78,78,75,82,76,81,78
Lucas Pérez,ST,79,79,14000000.0,7.146128035678238,2022.0,1.0,32,4,2,79.0,82.0,75.0,77.0,32.0,69.0,85,68,79,82,78,79,81
R. Ruidíaz,ST,79,79,17000000.0,7.230448921378274,2021.0,0.0,30,4,2,84.0,80.0,66.0,78.0,32.0,67.0,83,74,75,79,78,77,85
A. Plea,"ST, LW",79,79,18000000.0,7.2552725051033065,2023.0,2.0,28,3,2,71.0,82.0,77.0,79.0,39.0,74.0,83,73,80,82,83,79,83
De Tomás,ST,79,82,23000000.0,7.361727836017593,2026.0,5.0,26,4,1,75.0,82.0,68.0,81.0,35.0,68.0,82,76,77,84,83,82,82
Rubén García,"LM, ST, RM",79,79,18500000.0,7.267171728403014,2024.0,3.0,27,2,1,80.0,76.0,79.0,79.0,45.0,58.0,79,56,59,76,78,80,74
P. Onuachu,ST,79,80,20500000.0,7.311753861055754,2024.0,3.0,27,2,1,71.0,77.0,62.0,70.0,45.0,84.0,83,85,73,78,63,78,81
A. Saint-Maximin,"LM, ST",79,84,26500000.0,7.423245873936808,2026.0,5.0,24,4,2,91.0,69.0,70.0,87.0,25.0,61.0,65,53,59,80,70,83,72
Paulinho,ST,79,79,18000000.0,7.2552725051033065,2025.0,4.0,28,4,1,67.0,78.0,64.0,75.0,44.0,81.0,82,85,78,80,68,78,83
Munir,"LW, RW, ST",79,80,21000000.0,7.3222192947339195,2023.0,2.0,25,3,2,79.0,78.0,75.0,82.0,35.0,66.0,79,77,80,78,77,83,78
Mata,ST,79,79,14000000.0,7.146128035678238,2024.0,3.0,32,3,1,68.0,80.0,61.0,76.0,31.0,76.0,84,75,73,79,71,79,85
M. Thuram,"LM, ST",79,85,27500000.0,7.439332693830263,2023.0,2.0,23,3,2,82.0,78.0,70.0,79.0,48.0,77.0,80,80,70,82,75,79,80
E. Ávila,"ST, RM",79,80,20500000.0,7.311753861055754,2023.0,2.0,27,5,1,81.0,81.0,65.0,78.0,44.0,83.0,82,74,79,85,76,77,77
K. Dolberg,ST,79,83,25500000.0,7.4065401804339555,2024.0,3.0,23,4,2,73.0,81.0,69.0,77.0,30.0,68.0,80,74,78,86,79,79,81
Luimo Boas Santos,ST,79,79,21000000.0,7.3222192947339195,2024.0,3.0,21,4,1,83.0,79.0,65.0,81.0,28.0,64.0,81,76,76,75,82,81,82
L. Jović,ST,79,84,27000000.0,7.431363764158987,2024.0,3.0,23,5,1,75.0,80.0,68.0,78.0,29.0,74.0,82,79,83,82,75,80,81
P. Schick,ST,79,82,23500000.0,7.371067862271736,2025.0,4.0,25,2,3,70.0,79.0,70.0,80.0,35.0,68.0,81,80,74,77,79,83,81
J. Ikoné,"RM, ST",79,83,25000000.0,7.3979400086720375,2023.0,2.0,23,3,3,89.0,70.0,74.0,83.0,35.0,60.0,70,39,59,75,68,81,76
M. Kean,ST,79,87,39500000.0,7.596597095626461,2023.0,2.0,21,3,2,85.0,77.0,56.0,78.0,40.0,75.0,81,76,72,84,66,76,81
Matheus Cunha,"CAM, LM, ST",79,86,35500000.0,7.550228353055094,2026.0,5.0,22,4,2,85.0,78.0,74.0,84.0,31.0,69.0,78,64,75,77,79,83,79
M. Taremi,"ST, CF",79,79,18000000.0,7.2552725051033065,2024.0,3.0,28,4,1,76.0,79.0,70.0,80.0,38.0,71.0,81,70,74,81,74,83,83
C. Gakpo,"LM, ST",79,85,28000000.0,7.447158031342219,2025.0,4.0,22,4,1,85.0,78.0,74.0,79.0,41.0,72.0,79,60,72,83,76,80,77
Negredo,ST,78,78,6000000.0,6.778151250383644,2022.0,1.0,35,2,3,59.0,81.0,64.0,72.0,36.0,77.0,80,83,79,84,80,74,80
F. Quagliarella,ST,78,78,4800000.0,6.681241237375588,2022.0,1.0,38,4,2,61.0,83.0,74.0,79.0,30.0,63.0,82,69,85,84,84,82,84
Falcao,ST,78,78,6000000.0,6.778151250383644,2022.0,1.0,35,4,3,56.0,79.0,67.0,76.0,41.0,69.0,80,84,80,78,74,80,84
F. Caicedo,"CF, ST",78,78,11500000.0,7.060697840353612,2026.0,5.0,32,3,2,74.0,78.0,70.0,75.0,44.0,80.0,79,77,78,84,70,79,82
Ángel,ST,78,78,7000000.0,6.845098040014257,2023.0,2.0,34,3,1,71.0,81.0,61.0,78.0,34.0,66.0,84,71,80,79,78,82,83
J. Hernández,ST,78,78,9000000.0,6.954242509439325,2021.0,0.0,33,3,3,68.0,76.0,63.0,75.0,31.0,66.0,81,78,72,75,66,76,87
A. Budimir,ST,78,78,14000000.0,7.146128035678238,2025.0,4.0,29,4,2,65.0,78.0,48.0,73.0,35.0,77.0,84,82,70,78,71,79,80
F. Caputo,ST,78,78,9000000.0,6.954242509439325,2022.0,1.0,33,4,1,82.0,79.0,62.0,78.0,30.0,67.0,83,74,80,76,70,78,84
Kike García,ST,78,78,12000000.0,7.079181246047625,2024.0,3.0,31,4,1,61.0,81.0,64.0,74.0,44.0,74.0,83,81,78,81,79,79,84
H. Seferović,ST,78,78,14000000.0,7.146128035678238,2024.0,3.0,29,2,2,72.0,78.0,67.0,72.0,48.0,84.0,79,81,76,83,70,73,85
P. Bamford,ST,78,78,15000000.0,7.176091259055681,2026.0,5.0,27,3,2,73.0,78.0,67.0,73.0,42.0,77.0,82,75,69,80,69,78,83
J. Nsame,ST,78,78,14500000.0,7.161368002234975,2023.0,2.0,28,4,2,79.0,77.0,55.0,73.0,27.0,80.0,80,79,79,79,70,75,80
M. Dembélé,ST,78,82,20500000.0,7.311753861055754,2023.0,2.0,24,3,2,78.0,77.0,63.0,73.0,30.0,82.0,80,81,72,82,66,74,82
A. Miranchuk,"CAM, ST",78,80,17500000.0,7.243038048686294,2025.0,4.0,25,2,1,75.0,70.0,76.0,80.0,31.0,62.0,71,57,67,65,73,80,78
L. Alario,ST,78,78,14500000.0,7.161368002234975,2024.0,3.0,28,3,2,63.0,78.0,58.0,74.0,30.0,75.0,83,85,80,79,63,78,84
L. Ajorque,ST,78,79,16500000.0,7.217483944213907,2024.0,3.0,27,3,2,60.0,78.0,60.0,70.0,26.0,81.0,81,83,75,79,70,77,83
R. Borré,ST,78,81,19000000.0,7.278753600952829,2025.0,4.0,25,3,1,81.0,77.0,72.0,78.0,44.0,76.0,80,74,72,80,70,77,84
O. Watkins,ST,78,83,21000000.0,7.3222192947339195,2025.0,4.0,25,4,2,85.0,75.0,68.0,75.0,46.0,71.0,80,81,64,75,71,76,79
K. Toko Ekambi,"LW, ST",78,78,14000000.0,7.146128035678238,2024.0,3.0,28,4,2,85.0,78.0,71.0,77.0,25.0,70.0,79,74,75,81,73,76,81
J. Bowen,"RM, ST",78,83,21000000.0,7.3222192947339195,2025.0,4.0,24,3,1,76.0,74.0,73.0,79.0,44.0,65.0,78,64,53,69,76,78,79
K. Iheanacho,"ST, CF",78,82,20500000.0,7.311753861055754,2024.0,3.0,24,3,1,74.0,80.0,70.0,77.0,38.0,71.0,82,67,77,81,78,78,80
Fredditinho,ST,78,78,9000000.0,6.954242509439325,2024.0,3.0,33,1,1,73.0,80.0,63.0,74.0,39.0,76.0,83,81,74,78,77,74,78
Matheus Bardeira,ST,78,78,17000000.0,7.230448921378274,2024.0,3.0,21,3,1,73.0,82.0,62.0,70.0,31.0,75.0,86,91,70,87,80,70,74
T. Abraham,ST,78,86,31500000.0,7.498310553789601,2026.0,5.0,23,3,2,70.0,78.0,62.0,72.0,31.0,70.0,82,80,77,78,68,77,80
Y. Yazıcı,"CF, ST, CAM",78,82,20500000.0,7.311753861055754,2024.0,3.0,24,4,1,67.0,76.0,79.0,80.0,47.0,72.0,74,68,72,81,80,82,77
I. Sarr,"RW, RM, ST",78,86,31000000.0,7.491361693834273,2024.0,3.0,23,2,1,94.0,76.0,67.0,80.0,22.0,67.0,75,44,76,82,78,79,73
A. Gouiri,"ST, LM",78,85,29000000.0,7.4623979978989565,2024.0,3.0,21,3,2,79.0,80.0,75.0,79.0,44.0,70.0,81,64,76,78,79,79,81
Júnior Moraes,ST,78,78,7000000.0,6.845098040014257,2021.0,0.0,34,4,1,79.0,79.0,60.0,77.0,27.0,68.0,82,69,73,75,80,77,84
J. David,ST,78,86,32000000.0,7.505149978319906,2025.0,4.0,21,5,2,85.0,76.0,71.0,78.0,25.0,70.0,80,72,71,75,70,78,80
Puado,"LM, ST, CAM",78,85,28000000.0,7.447158031342219,2025.0,4.0,23,4,1,83.0,76.0,68.0,80.0,45.0,73.0,77,77,70,78,75,80,77
M. Greenwood,"RM, ST",78,89,30500000.0,7.484299839346786,2025.0,4.0,19,5,1,84.0,78.0,73.0,79.0,39.0,68.0,77,65,68,83,78,78,79
D. Vlahović,ST,78,85,29000000.0,7.4623979978989565,2023.0,2.0,21,3,2,75.0,78.0,58.0,73.0,28.0,76.0,83,75,68,78,70,80,82
Soldado,ST,77,77,3600000.0,6.556302500767287,2023.0,2.0,36,4,3,53.0,79.0,71.0,74.0,44.0,69.0,82,78,80,78,74,82,84
Jorge Molina,ST,77,77,3600000.0,6.556302500767287,2022.0,1.0,39,4,1,36.0,81.0,67.0,68.0,41.0,70.0,81,80,81,87,75,76,85
D. Valeri,"CAM, ST",77,77,4300000.0,6.633468455579586,2021.0,0.0,35,4,2,53.0,76.0,78.0,78.0,44.0,67.0,71,70,75,80,81,80,81
Joselu,ST,77,77,9000000.0,6.954242509439325,2022.0,1.0,31,3,1,55.0,78.0,68.0,72.0,30.0,70.0,81,81,74,78,73,78,80
K. Gameiro,ST,77,77,5000000.0,6.698970004336019,2023.0,2.0,34,4,3,83.0,77.0,74.0,75.0,41.0,67.0,76,67,76,82,73,77,81
S. Jovetić,"ST, CAM",77,77,9000000.0,6.954242509439325,2024.0,3.0,31,4,3,65.0,79.0,76.0,79.0,35.0,60.0,77,74,79,82,79,81,79
Alan Kardec,"ST, RW, LW",77,77,8500000.0,6.929418925714293,2022.0,1.0,32,3,1,77.0,77.0,64.0,71.0,34.0,78.0,79,83,67,78,74,73,79
A Lan,"ST, LW, LM",77,77,9000000.0,6.954242509439325,2023.0,2.0,31,3,2,84.0,75.0,68.0,81.0,33.0,72.0,79,76,76,74,68,79,78
Alex Teixeira,"ST, LW, CAM",77,77,9000000.0,6.954242509439325,2023.0,2.0,31,4,3,83.0,76.0,73.0,80.0,40.0,70.0,77,54,78,74,76,81,80
B. Dost,ST,77,77,8500000.0,6.929418925714293,2022.0,1.0,32,3,3,45.0,79.0,57.0,65.0,50.0,76.0,81,91,82,80,69,74,85
S. Rondón,ST,77,77,9000000.0,6.954242509439325,2023.0,2.0,31,4,2,69.0,76.0,66.0,71.0,32.0,81.0,76,82,75,85,69,72,80
M. Braithwaite,"ST, LW",77,77,10500000.0,7.021189299069938,2024.0,3.0,30,4,2,80.0,76.0,72.0,79.0,35.0,74.0,78,67,75,77,71,81,78
Willian José,ST,77,77,10500000.0,7.021189299069938,2022.0,1.0,29,4,2,62.0,78.0,66.0,74.0,40.0,80.0,78,80,73,82,74,79,80
G. Moreno,"ST, CAM",77,77,4500000.0,6.653212513775344,2021.0,0.0,35,2,1,74.0,77.0,74.0,77.0,56.0,80.0,77,84,83,80,74,77,76
